feature,importance,coefficient,type
feature_4408,0.0,0.0,abs_coefficient
feature_4409,0.0,0.0,abs_coefficient
feature_4385,0.0,0.0,abs_coefficient
feature_4410,0.0,0.0,abs_coefficient
feature_4406,0.0,0.0,abs_coefficient
feature_4384,0.0,0.0,abs_coefficient
feature_4405,0.0,0.0,abs_coefficient
feature_4404,0.0,0.0,abs_coefficient
feature_4411,0.0,0.0,abs_coefficient
feature_4378,0.0,0.0,abs_coefficient
feature_4412,0.0,0.0,abs_coefficient
feature_4376,0.0,0.0,abs_coefficient
feature_4403,0.0,0.0,abs_coefficient
feature_4375,0.0,0.0,abs_coefficient
feature_4413,0.0,0.0,abs_coefficient
feature_4414,0.0,0.0,abs_coefficient
feature_4402,0.0,0.0,abs_coefficient
feature_4383,0.0,0.0,abs_coefficient
feature_4381,0.0,0.0,abs_coefficient
feature_4401,0.0,0.0,abs_coefficient
feature_4400,0.0,0.0,abs_coefficient
feature_4377,0.0,0.0,abs_coefficient
feature_4387,0.0,0.0,abs_coefficient
